DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	sum
Chittaurgarh	28	8	Rajasthan	126	1078
Neemuch	15	23	Madhya Pradesh	432	672.7882352941
Rajsamand	25	8	Rajasthan	123	289
Bhilwara	24	8	Rajasthan	122	1792.4705882353
Ajmer	21	8	Rajasthan	119	3558.3411764706
Jaipur	12	8	Rajasthan	110	16959
Tonk	22	8	Rajasthan	120	805
Dausa	11	8	Rajasthan	109	462
Sawai Madhopur	10	8	Rajasthan	108	1037
Bundi	23	8	Rajasthan	121	871.9450980392
Sheopur	1	23	Madhya Pradesh	418	165
Shivpuri	6	23	Madhya Pradesh	423	806
Guna	41	23	Madhya Pradesh	458	1331
Gwalior	4	23	Madhya Pradesh	421	6755.2588235294
Morena	2	23	Madhya Pradesh	419	932.1647058824
Dhaulpur	8	8	Rajasthan	106	609
Karauli	9	8	Rajasthan	107	360
Bharatpur	7	8	Rajasthan	105	2662.1333333333
Mathura	14	9	Uttar Pradesh	145	5511.7529411765
Mahamaya Nagar	13	9	Uttar Pradesh	144	1130
Agra	15	9	Uttar Pradesh	146	12250.1803921569
Bhind	3	23	Madhya Pradesh	420	1276.9333333333
Firozabad	16	9	Uttar Pradesh	147	2858.3725490196
Etah	70	9	Uttar Pradesh	201	1004
Kansiram Nagar	71	9	Uttar Pradesh	202	267
Shahjahanpur	21	9	Uttar Pradesh	152	2824.7647058824
Farrukhabad	28	9	Uttar Pradesh	159	2075
Mainpuri	17	9	Uttar Pradesh	148	1103
Etawah	30	9	Uttar Pradesh	161	1376.7254901961
Kannauj	29	9	Uttar Pradesh	160	866
Auraiya	31	9	Uttar Pradesh	162	1245
Jalaun	34	9	Uttar Pradesh	165	1227.3921568628
Datia	5	23	Madhya Pradesh	422	296
Tikamgarh	7	23	Madhya Pradesh	424	224
Jhansi	35	9	Uttar Pradesh	166	2640
Lalitpur	36	9	Uttar Pradesh	167	365
Hamirpur	37	9	Uttar Pradesh	168	651.3215686275
Mahoba	38	9	Uttar Pradesh	169	472
Chhatarpur	8	23	Madhya Pradesh	425	404
Sagar	10	23	Madhya Pradesh	427	2398
Damoh	11	23	Madhya Pradesh	428	641
Raisen	29	23	Madhya Pradesh	446	1004.662745098
Vidisha	26	23	Madhya Pradesh	443	912
Ashoknagar	42	23	Madhya Pradesh	459	306
Bhopal	27	23	Madhya Pradesh	444	9894.9803921569
Harda	31	23	Madhya Pradesh	448	351.1137254902
Hoshangabad	32	23	Madhya Pradesh	449	1064.0784313726
Betul	30	23	Madhya Pradesh	447	554
Chhindwara	38	23	Madhya Pradesh	455	1384
Narsimhapur	35	23	Madhya Pradesh	452	890
Jabalpur	34	23	Madhya Pradesh	451	6993
Seoni	39	23	Madhya Pradesh	456	853.1019607843
Mandla	37	23	Madhya Pradesh	454	398.8352941176
Balaghat	40	23	Madhya Pradesh	457	300
Dindori	36	23	Madhya Pradesh	453	13
Katni	33	23	Madhya Pradesh	450	1312.862745098
Umaria	14	23	Madhya Pradesh	431	161.9529411765
Panna	9	23	Madhya Pradesh	426	138
Satna	12	23	Madhya Pradesh	429	1403.0470588235
Banda	39	9	Uttar Pradesh	170	1256.3137254902
Chitrakoot	40	9	Uttar Pradesh	171	244
Shahdol	43	23	Madhya Pradesh	460	623.0823529412
Sidhi	45	23	Madhya Pradesh	462	47
Rewa	13	23	Madhya Pradesh	430	814
