DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	mean
Gautam Buddha Nagar	10	9	Uttar Pradesh	141	28.4607093973
Aligarh	12	9	Uttar Pradesh	143	5.7234911695
Faridabad	20	6	Haryana	88	33.4868683598
Palwal	21	6	Haryana	89	13.4665999937
Mewat	19	6	Haryana	87	10.0413151375
Gurgaon	18	6	Haryana	86	32.5434426484
South	9	7	NCT of Delhi	98	59.3274387829
New Delhi	5	7	NCT of Delhi	94	63
South West	8	7	NCT of Delhi	97	53.6320612348
Central	6	7	NCT of Delhi	95	63
East	4	7	NCT of Delhi	93	63
North East	3	7	NCT of Delhi	92	60.2001700359
North	2	7	NCT of Delhi	91	61.8196182261
West	7	7	NCT of Delhi	96	62.3166545806
Jhajjar	15	6	Haryana	83	13.9281953467
Alwar	6	8	Rajasthan	104	9.0057981743
Rewari	17	6	Haryana	85	16.8982575797
Rohtak	14	6	Haryana	82	14.1449010988
Bhiwani	13	6	Haryana	81	9.3370098164
Jind	9	6	Haryana	77	13.2100199616
Panipat	7	6	Haryana	75	23.21127518
Karnal	6	6	Haryana	74	16.4743094293
Kaithal	5	6	Haryana	73	14.4582693611
Kurukshetra	4	6	Haryana	72	16.5359329203
Patiala	14	3	Punjab	48	14.9795535157
Ambala	2	6	Haryana	70	18.232650734
Yamunanagar	3	6	Haryana	71	13.0706505105
Panchkula	1	6	Haryana	69	15.3099255532
Sahibzada Ajit Singh Nagar	18	3	Punjab	52	24.3035567362
Chandigarh	1	4	Chandigarh	55	60.1204772149
Fatehgarh Sahib	6	3	Punjab	40	14.9853353494
Ludhiana	7	3	Punjab	41	18.6165754041
Sangrur	19	3	Punjab	53	12.7680012213
Barnala	20	3	Punjab	54	13.0336799506
Moga	8	3	Punjab	42	13.1288968662
Bathinda	12	3	Punjab	46	15.7976768069
Faridkot	11	3	Punjab	45	13.0698278649
Mansa	13	3	Punjab	47	12.2069126484
Fatehabad	10	6	Haryana	78	13.0711055744
Sirsa	11	6	Haryana	79	12.1329370841
Hisar	12	6	Haryana	80	12.0219975654
Mahendragarh	16	6	Haryana	84	11.941667473
Jhunjhunun	5	8	Rajasthan	103	11.1707677791
Churu	4	8	Rajasthan	102	3.8732806838
Sikar	13	8	Rajasthan	111	9.9252554465
Hanumangarh	2	8	Rajasthan	100	5.7042069995
Bikaner	3	8	Rajasthan	101	2.0358089529
Ganganagar	1	8	Rajasthan	99	6.4572432827
Muktsar	10	3	Punjab	44	13.0414589241
Firozpur	9	3	Punjab	43	12.2925905269
Amritsar	15	3	Punjab	49	18.8993453205
Gurdaspur	1	3	Punjab	35	13.3036501172
Tarn Taran	16	3	Punjab	50	16.3644314764
Kapurthala	2	3	Punjab	36	14.0688826571
Jalandhar	3	3	Punjab	37	17.5235128861
Hoshiarpur	4	3	Punjab	38	9.9873906639
Kathua	7	1	Jammu & Kashmir	7	5.4181705707
Samba	22	1	Jammu & Kashmir	22	11.130884353
Jammu	21	1	Jammu & Kashmir	21	16.8766900441
Udhampur	19	1	Jammu & Kashmir	19	3.0157022
Doda	16	1	Jammu & Kashmir	16	0.8023518181
Ramban	17	1	Jammu & Kashmir	17	1.6986763594
Reasi	20	1	Jammu & Kashmir	20	1.6342594591
Jaisalmer	16	8	Rajasthan	114	0.5317673563
Jodhpur	15	8	Rajasthan	113	3.9429616453
Nagaur	14	8	Rajasthan	112	4.6586639263
Barmer	17	8	Rajasthan	115	1.0472604008
Pali	20	8	Rajasthan	118	3.0451879467
Jalor	18	8	Rajasthan	116	2.3894646673
