DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	avg_lights_x_pct	avg_vis	censuscode	cf_cvg	stable_lights
Pratapgarh	33	8	Rajasthan	2.02E+09	1.80E+10	131	2.77E+11	6.97E+09
Jhalawar	31	8	Rajasthan	5.72E+09	3.08E+10	129	4.24E+11	2.20E+10
Kota	29	8	Rajasthan	1.97E+10	4.11E+10	127	3.60E+11	3.60E+10
Baran	30	8	Rajasthan	5.05E+09	2.99E+10	128	4.44E+11	1.57E+10
Chittaurgarh	28	8	Rajasthan	9.69E+09	4.02E+10	126	4.78E+11	3.08E+10
Neemuch	15	23	Madhya Pradesh	6.67E+09	2.36E+10	432	2.73E+11	1.87E+10
Rajsamand	25	8	Rajasthan	8.42E+09	2.79E+10	123	2.92E+11	2.32E+10
Bhilwara	24	8	Rajasthan	8.41E+09	5.10E+10	122	6.50E+11	3.59E+10
Ajmer	21	8	Rajasthan	1.87E+10	5.30E+10	119	5.55E+11	4.27E+10
Jaipur	12	8	Rajasthan	5.18E+10	9.69E+10	110	7.24E+11	9.04E+10
Tonk	22	8	Rajasthan	4.13E+09	3.17E+10	120	4.71E+11	1.64E+10
Dausa	11	8	Rajasthan	5.22E+09	2.04E+10	109	2.14E+11	1.92E+10
Sawai Madhopur	10	8	Rajasthan	3.51E+09	2.19E+10	108	3.17E+11	1.13E+10
Bundi	23	8	Rajasthan	6.03E+09	2.78E+10	121	3.60E+11	1.85E+10
Sheopur	1	23	Madhya Pradesh	1.34E+09	2.24E+10	418	4.17E+11	3.96E+09
Shivpuri	6	23	Madhya Pradesh	4.44E+09	4.11E+10	423	6.50E+11	1.42E+10
Guna	41	23	Madhya Pradesh	8.51E+09	3.34E+10	458	4.10E+11	2.37E+10
Gwalior	4	23	Madhya Pradesh	1.31E+10	3.23E+10	421	3.43E+11	2.54E+10
Morena	2	23	Madhya Pradesh	4.99E+09	2.28E+10	419	3.30E+11	1.32E+10
Dhaulpur	8	8	Rajasthan	2.21E+09	1.28E+10	106	1.94E+11	5.64E+09
Karauli	9	8	Rajasthan	2.97E+09	2.05E+10	107	3.09E+11	1.00E+10
Bharatpur	7	8	Rajasthan	6.62E+09	2.68E+10	105	3.03E+11	2.29E+10
Mathura	14	9	Uttar Pradesh	1.49E+10	2.80E+10	145	2.10E+11	2.71E+10
Mahamaya Nagar	13	9	Uttar Pradesh	3.08E+09	1.02E+10	144	1.16E+11	8.79E+09
Agra	15	9	Uttar Pradesh	1.83E+10	3.38E+10	146	2.69E+11	3.19E+10
Bhind	3	23	Madhya Pradesh	4.44E+09	2.09E+10	420	3.15E+11	1.29E+10
Firozabad	16	9	Uttar Pradesh	6.15E+09	1.56E+10	147	1.66E+11	1.40E+10
Etah	70	9	Uttar Pradesh	1.57E+09	1.06E+10	201	1.70E+11	4.45E+09
Kansiram Nagar	71	9	Uttar Pradesh	1.25E+09	8.06E+09	202	1.31E+11	3.21E+09
Shahjahanpur	21	9	Uttar Pradesh	5.27E+09	2.07E+10	152	2.99E+11	8.48E+09
Farrukhabad	28	9	Uttar Pradesh	2.95E+09	1.08E+10	159	1.44E+11	7.11E+09
Mainpuri	17	9	Uttar Pradesh	1.75E+09	1.14E+10	148	1.87E+11	5.83E+09
Etawah	30	9	Uttar Pradesh	2.28E+09	1.07E+10	161	1.62E+11	6.18E+09
Kannauj	29	9	Uttar Pradesh	1.31E+09	8.55E+09	160	1.38E+11	3.59E+09
Auraiya	31	9	Uttar Pradesh	5.26E+09	1.26E+10	162	1.36E+11	1.02E+10
Jalaun	34	9	Uttar Pradesh	3.54E+09	2.08E+10	165	3.12E+11	1.42E+10
Datia	5	23	Madhya Pradesh	2.83E+09	1.02E+10	422	1.25E+11	9.12E+09
